origin_country,total_flights,avg_velocity,processing_time
United States,4876,148.59023799753794,2025-10-18 01:11:43.135454
Canada,372,150.86720430107528,2025-10-18 01:11:43.135454
Australia,288,97.06243055555555,2025-10-18 01:11:43.135454
China,215,186.64167441860465,2025-10-18 01:11:43.135454
Japan,190,170.9166842105263,2025-10-18 01:11:43.135454
India,164,186.71414634146342,2025-10-18 01:11:43.135454
Turkey,154,212.42103896103896,2025-10-18 01:11:43.135454
United Kingdom,124,181.80024193548385,2025-10-18 01:11:43.135454
United Arab Emirates,100,212.717,2025-10-18 01:11:43.135454
Brazil,92,160.6795652173913,2025-10-18 01:11:43.135454
Republic of Korea,87,182.7080459770115,2025-10-18 01:11:43.135454
New Zealand,72,96.43555555555555,2025-10-18 01:11:43.135454
Mexico,62,168.4817741935484,2025-10-18 01:11:43.135454
Thailand,61,169.02639344262295,2025-10-18 01:11:43.135454
Taiwan,54,175.45648148148146,2025-10-18 01:11:43.135454
Qatar,52,227.37826923076923,2025-10-18 01:11:43.135454
Indonesia,52,218.99692307692308,2025-10-18 01:11:43.135454
Germany,47,178.0308510638298,2025-10-18 01:11:43.135454
Philippines,37,137.31378378378378,2025-10-18 01:11:43.135454
France,35,197.32342857142856,2025-10-18 01:11:43.135454
Viet Nam,34,183.30441176470586,2025-10-18 01:11:43.135454
Chile,29,177.3693103448276,2025-10-18 01:11:43.135454
Singapore,29,216.01413793103447,2025-10-18 01:11:43.135454
Malaysia,28,166.81678571428571,2025-10-18 01:11:43.135454
Spain,28,207.12285714285716,2025-10-18 01:11:43.135454
Egypt,28,219.33928571428572,2025-10-18 01:11:43.135454
Saudi Arabia,25,234.75279999999998,2025-10-18 01:11:43.135454
Kingdom of the Netherlands,24,215.57291666666666,2025-10-18 01:11:43.135454
Ireland,24,186.14374999999998,2025-10-18 01:11:43.135454
Argentina,19,136.32105263157894,2025-10-18 01:11:43.135454
Russian Federation,19,191.7394736842105,2025-10-18 01:11:43.135454
Iceland,18,165.45444444444445,2025-10-18 01:11:43.135454
Poland,17,175.7670588235294,2025-10-18 01:11:43.135454
Finland,15,186.20466666666667,2025-10-18 01:11:43.135454
Kuwait,14,178.96499999999997,2025-10-18 01:11:43.135454
Ethiopia,14,231.91214285714287,2025-10-18 01:11:43.135454
Portugal,14,141.2392857142857,2025-10-18 01:11:43.135454
Oman,13,192.51000000000002,2025-10-18 01:11:43.135454
Colombia,13,90.07846153846154,2025-10-18 01:11:43.135454
Panama,12,199.18416666666667,2025-10-18 01:11:43.135454
Bahrain,11,206.1727272727273,2025-10-18 01:11:43.135454
Malta,11,226.73999999999998,2025-10-18 01:11:43.135454
Greece,9,177.39,2025-10-18 01:11:43.135454
Norway,9,172.51999999999998,2025-10-18 01:11:43.135454
Sweden,8,148.75875,2025-10-18 01:11:43.135454
Czech Republic,8,199.76,2025-10-18 01:11:43.135454
Ukraine,7,239.57,2025-10-18 01:11:43.135454
Pakistan,7,247.52285714285713,2025-10-18 01:11:43.135454
Morocco,7,211.85,2025-10-18 01:11:43.135454
Lithuania,7,183.50714285714284,2025-10-18 01:11:43.135454
Jordan,6,204.64166666666665,2025-10-18 01:11:43.135454
Austria,6,154.77166666666668,2025-10-18 01:11:43.135454
Romania,6,224.0233333333333,2025-10-18 01:11:43.135454
Bulgaria,5,214.68,2025-10-18 01:11:43.135454
Republic of Moldova,5,239.87399999999997,2025-10-18 01:11:43.135454
Bangladesh,4,258.9425,2025-10-18 01:11:43.135454
Switzerland,4,124.125,2025-10-18 01:11:43.135454
Kenya,4,203.485,2025-10-18 01:11:43.135454
Cambodia,4,154.8075,2025-10-18 01:11:43.135454
Dominican Republic,4,185.13,2025-10-18 01:11:43.135454
Sri Lanka,3,200.24,2025-10-18 01:11:43.135454
Tunisia,3,411.18333333333334,2025-10-18 01:11:43.135454
Slovakia,3,151.34666666666666,2025-10-18 01:11:43.135454
Luxembourg,3,207.64666666666668,2025-10-18 01:11:43.135454
Fiji,3,212.04,2025-10-18 01:11:43.135454
Trinidad and Tobago,2,192.905,2025-10-18 01:11:43.135454
Nepal,2,260.28000000000003,2025-10-18 01:11:43.135454
Myanmar,2,199.675,2025-10-18 01:11:43.135454
Belgium,2,116.44500000000001,2025-10-18 01:11:43.135454
Bhutan,2,251.62,2025-10-18 01:11:43.135454
Denmark,2,226.70499999999998,2025-10-18 01:11:43.135454
Cyprus,1,261.69,2025-10-18 01:11:43.135454
Uzbekistan,1,245.6,2025-10-18 01:11:43.135454
Azerbaijan,1,241.45,2025-10-18 01:11:43.135454
Brunei Darussalam,1,151.25,2025-10-18 01:11:43.135454
Serbia,1,243.96,2025-10-18 01:11:43.135454
Rwanda,1,77.88,2025-10-18 01:11:43.135454
Ecuador,1,105.05,2025-10-18 01:11:43.135454
Latvia,1,226.72,2025-10-18 01:11:43.135454
Libyan Arab Jamahiriya,1,248.43,2025-10-18 01:11:43.135454
Slovenia,1,229.18,2025-10-18 01:11:43.135454
Algeria,1,218.22,2025-10-18 01:11:43.135454
